ep,lam_y_max,lam_z_max,grad_mag,grad_net,grad_r
1812,0.42,0.51,5.21e-01,3.88e-02,0.07
1824,0.42,0.51,4.62e-01,3.66e-02,0.08
1836,0.42,0.51,5.24e-01,5.04e-02,0.10
1848,0.42,0.51,4.31e-01,2.83e-02,0.07
1860,0.42,0.51,6.37e-01,5.86e-02,0.09
1872,0.42,0.51,4.14e-01,3.52e-02,0.08
1884,0.42,0.51,5.74e-01,6.60e-02,0.12
1896,0.42,0.51,3.30e-01,3.15e-02,0.10
1908,0.42,0.51,5.59e-01,5.04e-02,0.09
1920,0.42,0.51,5.12e-01,3.50e-02,0.07
1932,0.42,0.51,4.63e-01,3.34e-02,0.07
1944,0.42,0.51,5.94e-01,5.21e-02,0.09
1956,0.42,0.51,5.21e-01,6.56e-02,0.13
1968,0.42,0.51,3.10e-01,3.22e-02,0.10
1980,0.42,0.51,4.69e-01,5.13e-02,0.11
1992,0.42,0.51,7.12e-01,4.92e-02,0.07
2000,0.42,0.51,4.24e-01,5.73e-02,0.14
